Sl no,Name,Profile ID,Date,Comment
20,d_0racle24,35608936267,22/04/24 22:56:07,DO IT!!!!!!!!!! ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ ðŸ¥ŠðŸ¥ŠðŸ¥Š
21,spooky.raps,3574943782,22/04/24 22:57:28,WHENâ€™S THE FIGHT??!
22,rafart73,55977687404,22/04/24 23:23:16,A Plan is not a Dream
23,amy.marranzinochatlos,1465953926,23/04/24 00:30:09,"@miketysoncollection the shirt on the site,  doesn't exactly say what is on the shirt he is wearing in this photo."
24,ccbd_cnm,59538513809,23/04/24 00:54:29,@jakepaul He'll make you ðŸ˜‚
25,john_ceadeare,4778849453,23/04/24 01:10:37,legend forever jake is a puss*
26,jcsilverbullet,65966202472,23/04/24 01:21:17,The shirt says it all Iron Mike ðŸ™ŒðŸ™Œ
27,lamonyachty,47946920874,23/04/24 02:34:44,Do ya thizzang Cuzy!â¤ï¸
28,f.a.m.e.1989,1468133919,23/04/24 02:51:23,Need this jersey
29,fggts,667765,23/04/24 02:51:24,http://0x2501c8ed
30,patrick_batemann78,24367903337,23/04/24 02:57:03,@jakepaul exactly ðŸ‘bruh
31,dhruv._.mittal,11233973467,23/04/24 03:07:42,@jakepaul a genius man without a plan is more big failure than a silly person with just a single plan
32,dhruv._.mittal,11233973467,23/04/24 03:09:23,@dhruv._.mittal still for a reminder you are fighting Mike Tyson don't get nasty before the mess starts
33,thisismyinferno,318545432,23/04/24 04:22:09,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
34,deansmellon,6796595980,23/04/24 05:17:09,Pussy JK
35,mel78652024,66095903395,23/04/24 06:25:23,Yo Mike Catskill in the house Melissa here God bless
36,mel78652024,66095903395,23/04/24 06:26:15,Mike your going to kick ass
37,queenzayy559,876285539,23/04/24 06:26:33,"Nah, he still got one. ðŸ˜—"
38,hgyfgf,7647364,23/04/24 06:26:34,http://7SAH.numexi.com
39,yugpatel_1804,7186667150,23/04/24 06:43:58,Jake paul ðŸ’€
40,athletesbattery,9409863201,23/04/24 07:12:41,@jakepaul ðŸ˜‚ðŸ˜‚Donâ€™t do itðŸ€„ï¸
41,ante_502,65123955508,23/04/24 08:47:22,@jakepaul RIP
42,blm.13warrior,65629643799,23/04/24 09:25:51,I need this shirt so bad now ðŸ”¥â¤ï¸ðŸ™Œ
43,mehrdad____mohamadzadeh,62017232668,23/04/24 10:32:02,â¤ï¸â¤ï¸â¤ï¸â¤ï¸
44,amanuell__,65391539922,23/04/24 12:20:16,Master âš¡
45,angelamallett28,200353092,23/04/24 13:00:40,There is no way in this lifetime that Jake Paul could come close to beating him.
46,hhafasahafasa,60698621279,23/04/24 13:08:00,ðŸ’“ðŸ‘
47,satyajit.gaonkar,5967791091,23/04/24 13:40:39,What if they have planned for the punch?  I guess you have to  head for the ðŸ‘‚ with the  mouth wide open ðŸ˜œ
48,__.aryan_03,25362638735,23/04/24 14:09:05,ðŸ’€
49,bhfbhfbv,776663,23/04/24 14:09:06,http://FOLLYBEACHVACATIONS.CO/4ABM
50,temsaad,3436482886,23/04/24 14:09:38,"@jakepaul so your training is not a plan ok, alright"
51,keeivey,536654815,23/04/24 14:30:17,Iron Mike ðŸ‘‘ðŸ’¥ðŸ’ªðŸ¾
52,derpinke,8210618025,23/04/24 15:06:32,This Shirt ðŸ˜
53,tannerwiesner5,50307548071,23/04/24 15:17:20,@jakepaul because your not a real boxer like him ðŸ˜‚
54,malcolmallenc,34362753923,23/04/24 16:19:53,
55,sarvandi.72,58945291295,23/04/24 16:31:11,ðŸ˜ðŸ”¥ðŸ”¥
56,jcarosonny,248436454,23/04/24 17:19:17,@jakepaul you mustâ€™ve paid him big money if you got @miketyson promoting it lol
57,suerekha_p22,11620951439,23/04/24 18:32:51,@jakepaul plan or no plan you will get destroyed
58,drphotoco,3511671349,23/04/24 19:13:59,I hope Mike hits him so hard that he is never seen again.
59,corsokisses,66325416719,23/04/24 19:55:52,ðŸ˜‚â¤ï¸
60,paulskim89,16371718118,23/04/24 19:59:50,ðŸ”¥ðŸ”¥ðŸ”¥ðŸ˜‚ðŸ˜‚ðŸ˜‚
61,onegez,239397801,23/04/24 20:14:08,You need to kick Jakeâ€™s ass. ðŸ”¥ðŸ‘ðŸ”¥
62,schneidershepherd,5967615189,23/04/24 20:37:25,Great man
63,draco_.24,5499323022,23/04/24 22:19:15,@young_m_a_n_17 u can't whoop neither Jake or Mike in a fight 1 on 1 sit yo ass down with these casual comments ðŸ˜‚
64,hhyd,887772,23/04/24 22:19:16,http://MyJCB-jp.ltd/RegistUser/cojp_head_myj_toroku
65,young_m_a_n_17,65621179054,23/04/24 22:22:35,@draco_.24 ur name is king draco sit ur wannabe ass down ðŸ’€ðŸ’€
66,draco_.24,5499323022,23/04/24 22:24:17,@young_m_a_n_17 it's okay to own up to the fact u can't whoop not Jake and Mike Tyson no need to get mad I call myself draco cuz da 30 rounds me yo mother and sister had but hey we can do it 40 rounds split 20/20ðŸ˜‚
67,young_m_a_n_17,65621179054,23/04/24 22:25:49,@draco_.24 nobody understands whats coming out your mouth u got jakes meat to deep in it ðŸ˜­ðŸ˜­
68,noahhobbs27,64378080912,23/04/24 22:32:04,Jake Paul you know your scerd of him just shut up man nobody likes you we all like Mike bro you so stupid man Mike is soooo much better
69,mhdi_kh021,65733815024,23/04/24 22:33:21,AllahðŸ”¥
70,draco_.24,5499323022,23/04/24 22:37:55,@young_m_a_n_17 i don't fw Jake you prolly subscribed to his YouTube why u talking on da Internet like him I do what iron Mike does put people to sleep like ik confidently I'll do yo ass like dat Internet ass niggaz these days ðŸ˜‚ðŸ˜‚
71,young_m_a_n_17,65621179054,23/04/24 22:39:53,@draco_.24 brother im outside right now with family enjoying life while ur there hyping urself up in the mirror relax lil man
72,draco_.24,5499323022,23/04/24 22:42:35,@young_m_a_n_17 then do DAT instead of saying Mike don't have it no more when we both know he can knock yo whole bloodline out if u chilling wit family do they know DAT yo ass casual ASF like DAT comment u made a out Mike Tyson wtfðŸ˜‚
73,successfulthugger4l_,16963131210,23/04/24 22:43:57,Damn mike giving jake sleepless night even b4 d fight
74,young_m_a_n_17,65621179054,23/04/24 22:43:58,@draco_.24 hes boutta be 58 he aint the same guy thats js the truth learn to handle that ðŸ™ŒðŸ™Œ
75,draco_.24,5499323022,23/04/24 22:45:03,@young_m_a_n_17 be real wit yo self tho boy everyone in these comments know MIKE TYSON would whoop yo whole bloodline at 58 years old SMH
76,young_m_a_n_17,65621179054,23/04/24 22:45:48,@draco_.24 ayt thats chill Never said I could beat him ðŸ˜­ðŸ˜­
77,yuou,88773,23/04/24 22:45:49,http://MyJCB-jp.top/RegistUser/cojp_head_myj_toroku
78,draco_.24,5499323022,23/04/24 22:47:50,@young_m_a_n_17 then look at his training videos WHO TF IS MOVING AND SWINGING HANDS LIKE DAT AT 58 DAMN NEAR 60 BE REAL
79,jimm.yjohns69,64775318642,23/04/24 23:00:20,Then you get your ass handed to you mikey
80,intothelight208,60148422023,23/04/24 23:06:46,â¤ï¸ðŸ™Œâ¤ï¸ðŸ™Œâ¤ï¸ðŸ™Œâ¤ï¸
81,n_roberts01,1466216136,23/04/24 23:24:08,@miketyson if you lose Iâ€™ll be homeless so please donâ€™t let me down lmao
82,malissofficial,3658323728,24/04/24 00:53:22,But where does one cop this shirt? ðŸ¤”
83,goku_just_sayin,4575201673,24/04/24 01:17:19,"Over 9000 plans, and never quitting on one until itâ€™s done (or not worth the time)"
84,donnahalabi,43443773106,24/04/24 01:52:25,"If you listen to Tysons words. He said I know Jake is coming to hurt me, but I have a surprise for him.he wont leave that ring looking like when he walked in., that's your answer who will win."
85,donnahalabi,43443773106,24/04/24 01:53:12,Love you Mike.â¤â¤
86,youta,99008,24/04/24 01:53:13,Click here for free followers - http://OemuT8.revahgrs.vip
87,mohitzist_evaz.ir,6005990665,24/04/24 02:25:16,Ù…Ø§Ø´Ø§Ø¡Ø§Ù„Ù„Ù‡
88,jiannajothish,49477376683,24/04/24 05:31:15,@jakepaul nigga....
89,jiannajothish,49477376683,24/04/24 05:31:33,
90,march_tudai_dick,65900580994,24/04/24 05:44:15,@jakepaul donâ€™t you dare try to come with the liver shots. I already know your dirt. Gr8 WHYTE hype. Why do you want to fight a 56 year old former heavyweight champion of the world. Yâ€™all better not attempt at embarrassing him and think it will go well. It wonâ€™t. You are not going to #JackJohnson MikeTyson.
91,pattibeninati,1434562434,24/04/24 07:21:04,â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥
92,iam_heavyrain,7575008588,24/04/24 08:36:50,You like problem whyðŸ˜‚ðŸ˜‚
93,md_d_fa,56652668489,24/04/24 08:51:55,ðŸ”¥ðŸ”¥ðŸ”¥
94,edallenart,48020053164,24/04/24 09:18:49,ðŸ™ŒðŸ½
95,sammydrockerfellow,6033823744,24/04/24 09:21:36,ðŸ˜‚ðŸ˜‚ðŸ˜‚
96,r.septian9,60969083378,24/04/24 10:43:15,ðŸ™ŒðŸ™ŒðŸ”¥ðŸ”¥
97,_.h.xr00.__,56379605180,24/04/24 11:14:25,@jakepaul ur ego aint go save u this time buddyðŸ’€ðŸ™
98,timwindsor_est.1981,51336578445,24/04/24 12:14:33,"@jakepaul ngl, this was an epic responseðŸ˜‚"
99,ttru,76543,24/04/24 12:14:34,Ping me here - http://paypaXw.co.uk.j1l7.top
100,timwindsor_est.1981,51336578445,24/04/24 12:22:10,"His head might not as durable either. As much as I would like a humbling to happen, I am worried and pray Mike takes no serious damage to his nogging."
101,craigkerr1,220720101,24/04/24 12:57:37,@jakepaul whatever it may be itâ€™ll go out the window when @miketyson belts you one ðŸ˜…
102,aryndizhri3,49972007911,24/04/24 13:01:03,ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥
103,aryndizhri3,49972007911,24/04/24 13:01:42,Maketyson ðŸ”¥ðŸ”¥
104,reshurt79,63975185774,24/04/24 13:05:49,Cool
105,barrycarlson63,2060481760,24/04/24 13:56:07,"Iron Mike , still throwing bombs , â¤ï¸"
106,dazzodanaizo,3121530931,24/04/24 13:58:59,ðŸ”¥
107,josegonzalezsf,59572353735,24/04/24 14:46:24,
108,saqlainkhan965721,64133208848,24/04/24 15:09:03,Sir Tyson if you are brother of Muhammad Ali then the son Jake Paul
109,loryrainbow418,22353389662,24/04/24 14:09:18,@_nicholasmaio_ You do realize Trump called soldiers losers and prisoners of war weak!
110,canceledagain2022,54529243651,24/04/24 14:35:36,Bleach would've been safer
111,bore_me_one,6092498877,24/04/24 14:35:38,ðŸ™Œâ¤ï¸ðŸ‘
112,corey_adams_photography,4728950442,24/04/24 14:37:13,"I donâ€™t even like Trump but he didnâ€™t say that. He said something along the lines of â€œmaybe thereâ€™s something we can do with disinfectant through injectionâ€. Itâ€™s so strange people feel the need to exaggerate this. The guy say stupid things all the time. By changing his words, you just give his supporters something to argue with. Now they can say. â€œGo back and listen. He didnâ€™t even use the word bleach.â€ And youâ€™ll look like the stupid one."
113,sdevasahayam,4285637040,24/04/24 14:37:26,@isaiahtheeprophet bot account
114,madss_bryan,22212120,24/04/24 14:37:27,"onederekson thereâ€™s a whole list of families who were forced from their homes for colonizers to take them away, maybe try looking that up like a grown adult. Itâ€™s not on my to research every question you have, just for you to have another one. Do something for yourself for once and look it up. And donâ€™t come at me with â€œthe burden is on meâ€ bullshit either bc you were here making batshit claims first"
115,redinjason,4789496360,24/04/24 14:37:38,@luke_obryan18 he was talking about Trump talking about our soldiers
116,sferd13,5967571189,24/04/24 14:38:33,@malamute_mom what did I say that wasnâ€™t true?
117,amjroxy08,8207502330,24/04/24 14:38:42,Don't fuck up our country you dementia patient
118,annie225875,8215147334,24/04/24 14:38:49,@americafirstenergy oh yes he did!
119,apriliveyforman,358535487,24/04/24 14:39:42,What about the real issues at hand? What have you to say about those? â€¦â€¦ silenceâ€¦â€¦
120,lebi.bine,38107513474,24/04/24 14:39:59,I think Iâ€™ll be voting for the bleach man thank you though!
121,elseeisawesome,6362613990,24/04/24 14:40:36,Do NOT BAN TIKTOK !
122,chrissiszou,1996168857,24/04/24 14:40:39,Bro you and your staff tell us lies on social media and tv every single day since January 2021. ðŸ¤¡ðŸ¤¡
123,chrissiszou,1996168857,24/04/24 14:41:28,@might.as.well.smile neither does Biden ðŸ¤·ðŸ»â€â™‚ï¸ðŸ¤¡
124,chrissiszou,1996168857,24/04/24 14:43:17,@cb7_sir1 ðŸ‘ðŸ‘ðŸ‘
125,mattch_3,46985406,24/04/24 14:43:58,All you have are lies the media told you lmao
126,fiqhatmadja_,3487686325,24/04/24 14:44:03,Trump more better than you
127,onederekson,1580589550,24/04/24 14:44:13,"@madss_bryan this would be a lot easier if you would just admit you're wrong. The fact is that you cannot provide one name of an individual that was abducted from their home, not arrested, not detained, but actually kidnapped from their home, is because it never happened."
128,fiqhatmadja_,3487686325,24/04/24 14:44:22,Free Palestine
129,noah_clots,37937602947,24/04/24 14:44:30,Fuck your new capital gains tax
130,mattch_3,46985406,24/04/24 14:46:14,"@livinlife262023 yeah, his son just smokes crack, fucks hookers, shacks up with his dead brothers wife, avoids taxes, lies on gun forms, throws the gun away in a dumpster next to a school and doesnâ€™t get in any legal trouble."
131,elstuller,1462017190,24/04/24 14:46:15,"@isaiahtheeprophet a joke? Thatâ€™s all YOU got? Punchline were the millions of people who believed his baseless verbal meanderings during the first months of the pandemic offering sunlight, ingesting disinfectants â€œan internal cleaning that knocks it right outâ€ and hydroxychloroquine. Later equine de-wormer, ivermectin who tried it causing some to die."
132,dio,67543,24/04/24 14:46:16,http://compassliquor.co.nz?
133,aemedic38,296900791,24/04/24 14:46:57,"@create_design.build_group Lord help you to open your eyes. Read the data out there. Why do you think Pfizer wanted to hide the pre-studied that allowed them to use their vaccine during an emergency pandemic for 70yrs; it wasn't because it was great news? If more people did their research and not just sent tge first emotional response, we would be in a better situation. As I said before look at London studies and Japan. Also, why you are there, look at Japan #1 treatment source for COVID. Hint: It's not considered horse paste over there... Please respond with what you found and we can continue this discussion."
134,bridgettrhart,203327842,24/04/24 14:47:11,@pepepita777 so you aren't a 2nd amendment supporter then?
135,orisen94,60771120900,24/04/24 14:48:39,"@mattch_3 its funny how people think the media, full of experienced journalists, is less trustworthy than a man who lied 30,000 times during his presidency"
136,baumrealestate,219887860,24/04/24 14:50:18,"Sleepy Jo, step down already."
137,st3v3urkel,65049743198,24/04/24 14:50:20,""" kids used to rub my legs in the pool, roaches"""
138,angela.martin.581187,15469281929,24/04/24 14:51:13,@isaiahtheeprophet he said it in a press conference with NASA and I didn't see any indication it was a joke. The full thing is on YouTube. There are two different videos bc he had NASA twice but he said inject disinfectant in all seriousness.
139,jtisseman,2192023106,24/04/24 14:51:15,@trippingteacher you forgot the emails! What about her emails?ðŸ™„
140,wantzandneeds,343977082,24/04/24 14:51:18,ðŸ‘ðŸ‘ðŸ‘
141,jimedallas972,58126074875,24/04/24 14:51:37,@bidenharrishq ðŸ‘ˆðŸ¼ðŸ¤¡
142,sallywhitelynn,4990952766,24/04/24 14:51:46,ðŸ˜‚ðŸ˜‚
143,jimedallas972,58126074875,24/04/24 14:52:50,As usual from Biden and the DumboRats ALL LIES ðŸ¤¥
144,milliemillstar,282475913,24/04/24 14:53:06,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
145,pwnsaucebbq,16716298234,24/04/24 14:53:16,As much as I hate Trump he did not specify bleach. He said weâ€™re looking into injecting disinfectant. Which is the same thing pretty much lol.
146,azlanarlie,328848421,24/04/24 14:53:42,Vote for the guy who is losing a battle with dementia
147,mattch_3,46985406,24/04/24 14:54:50,"@ orisen94 not believing the media (who the fuck would lol) and believing Trump are not the only two options lol. I bet the media also told you the 30,000 number. Now imagine if they fact checked Biden like they do republicansâ€¦. Man, still canâ€™t believe his uncle was eaten by cannibals and that he used to drive an 18 wheelerðŸ˜‚ who knew"
148,m.a.m.a.l.l.a.m.a.1,1514251578,24/04/24 14:55:05,He did not.
149,sugar_nspice_bnice,6806055558,24/04/24 14:55:19,@realredlion nah he really said it ðŸ˜‚but he was being sarcastic ðŸ˜­ðŸ˜‚
150,michellecooneyweidner,49287880838,24/04/24 14:55:43,"@americafirstenergy why. Why would anyone â€œspitballâ€ about putting bleach into the body with anyone? Just like looking up at the eclipse without safety googles.  Yep he did that as well, sad but true!"
151,sugar_nspice_bnice,6806055558,24/04/24 14:55:49,@drewfromwork ðŸ˜‚he said and you can find it on YouTube
152,might.as.well.smile,1467265861,24/04/24 14:56:15,@chrissiszou Biden knows a lot more than the orange clown. He also knows to defer to medical experts instead of making a complete fool of himself on national TV.
153,mati_k_weber,46651301623,24/04/24 14:56:23,So correct
154,sugar_nspice_bnice,6806055558,24/04/24 14:57:04,Nah he's telling the right one.
155,mamaburr1987,271519422,24/04/24 14:57:16,"@kttexas25 Atleast I donâ€™t worship swine, trailer trash."
156,bigdiggity,8900566723,24/04/24 14:57:34,"SEE IF YOU CAN FIND THE PROBLEM-

Joe Biden has been in office 54 years.

Nancy Pelosi has been in office 33 years.

Chuck Schumer has been in office 45 years.

Maxine Waters has been in office 47 years. 

Donald Trump was in office 3 years starting in 2018.

It is laughable that the Democrats blame everything on Trump for problems THEY created and THEY have not solved for DECADES."
157,jtisseman,2192023106,24/04/24 14:57:39,Alberta is a whole different bag of beans. Itâ€™s a national joke across Canada. Nobody takes Albertans seriously.
158,chrissiszou,1996168857,24/04/24 14:59:17,@might.as.well.smile yeah like saying that if u get the covid vaccine you won't get covid....not even to mention all the lies he tella us daily ans forces his staff to tell us but u a ðŸ¤¡ like him so u won't ever understand ðŸ¤·ðŸ»â€â™‚ï¸
159,may.the.longtime.sun,7109539861,24/04/24 14:59:25,Wow! Just wow! Yet another blatant lie from your team. Are you purposefully trying to figure out how many votes youâ€™ll have to fake again to win? Do you have a fancy algorithm sorting thru these comments? Youâ€™ll probably need 90million â€˜votesâ€™ to win this year. Quit flooding our country with foreign men who r@pe and murd3r. And STOP changing laws so they can vote and STOP giving them our $$. Your destruction of America is truly Next Level! ðŸ¤¦ðŸ¼â€â™€ï¸
160,marissakresge,187925660,24/04/24 15:00:08,Donâ€™t listen to a guy who can barely remember anything. Sleepy joe itâ€™s time to retire
161,mondo_calling,52924819497,24/04/24 15:00:08,The rap beef of the century guys
162,kttexas25,56316498435,24/04/24 15:01:02,"@mama yes my 3600sq ft home screams â€œtrailerâ€. Maybe seek some mental health help and maybe a proper diet. Less carbs, less cookies ðŸ·. I do fitness competitions so if you need help, let me know. Start with not eating your emotions ðŸ˜˜"
163,kirstybcameron_xx,2730912400,24/04/24 15:01:08,@americafirstenergy actually he did. But the maga nuts only see what they want to see and here. But know this the world is laughing at u.
164,not.aging.gracefully,51070558645,24/04/24 15:01:12,@andre210345 oh they do. Gotta admire their full commitment to their delusion.
165,xxodus_666,62620374038,24/04/24 15:01:38,Anyone who voted for Biden should just drink a whole gallon of it
166,orisen94,60771120900,24/04/24 15:02:19,"@mattch_3 The coverage of Trump is not crazy because they hate him (Iâ€™ll admit they do), but because heâ€™s just that retarded of a man. Iâ€™d like to know where YOU get YOUR news. If it is X (Twitter) iâ€™m done talking to you."
167,ytre,987654,24/04/24 15:02:20,Click for the deal - http://oqlKiMS81WJ8.9TByOetsnoF9.safarbeqeshm.ir/language/15ghkasdj.php?e=danytapg@hotmail.com&amp;s=Xq42O38ZbRZ03xkG0DIB&amp;a
168,vanessajohn13,12747118291,24/04/24 15:02:20,Who said we shouldn't inject bleach????
169,rinuguddu,6707700574,24/04/24 15:02:34,He give you fund to protect family
170,smosher852,57222289576,24/04/24 15:03:07,Biden injects pain into American citizens. Iâ€™ll take the bleach.
171,paula1913we,1950589428,24/04/24 15:03:09,Vote for Biden!!
172,bigpeta1,1551557370,24/04/24 15:03:20,@mrcarlitoswayy thatâ€™s the only response you got when someone shuts your poor comment downâ€¦..next
173,mamaburr1987,271519422,24/04/24 15:03:45,"@kttexas25 I could snap you like a twig, little girl. ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚"
174,kttexas25,56316498435,24/04/24 15:04:32,@mama by sitting on me maybe ðŸ«£
175,zakikahll,1596198310,24/04/24 15:04:49,"@andre210345 Do die hard Biden supporters enjoy the hundreds Because none of that happened under Trump and thatâ€™s something that cannot be argued because we were not at war in Ukraine, Russia,  Palestine, or Israel while Trump was in office."
176,kttexas25,56316498435,24/04/24 15:04:58,"@mama let me guess, you are well over 170lbs ðŸ¤­"
177,kttexas25,56316498435,24/04/24 15:05:28,@mama I can dead lift your weight ðŸ¥´
178,jamilthalji,409562063,24/04/24 15:05:48,@voodeedoo which money
179,marilynshugart42,275766999,24/04/24 15:06:34,For those FOX News trumpers on this thread who say he never said it: https://youtu.be/PAauiLx3AvQ?feature=shared
180,might.as.well.smile,1467265861,24/04/24 15:08:01,@chrissiszou I'm not actually a huge Biden fan tbh. Can you show some proof though?
181,cojack4real,58636917842,24/04/24 15:09:03,Hearsay about Trump saying soldiers are suckers and losers are better than Kanye memes? Thanks for demonstrating how fucking retarded you are. Assumptions make an ass out of you. Itâ€™s amazing how you morons love to out yourselves.
182,jamilthalji,409562063,24/04/24 15:10:08,@kareemabdelazez2023 time to retire
183,naglefeed,189816687,24/04/24 15:10:21,"Donâ€™t highlight his goofs and â€œdumbâ€ comments, this is why people love him."
184,caitlin_louise_sleepy_bees,340364469,24/04/24 15:10:31,"Youâ€™re such a monumental idiot. â€œDonâ€™t inject bleachâ€ hardy har harâ€¦ we all know what he said, you look like a tool when you post crap like this. Grow up and be a freaking president and actually do something for this country rather than pander to him and â€œhis crowdâ€ which is WAAAY bigger than i think you think it isâ€¦.."
185,wittenkitten,15123338,24/04/24 15:10:32,Why is your office not taking calls today?
186,paul_radtke36,6224664794,24/04/24 15:10:53,All you politicians are crooked.  And thatâ€™s you as well Joe.
187,robert_a_crane,5640838793,24/04/24 15:11:00,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
188,chrissiszou,1996168857,24/04/24 15:11:14,@might.as.well.smile you dont need proof. Listen to them every day....but not on  CNN or MSNBC etc since they cover up for him. Lots of info online. Look it up. Destroying this country day by day....
189,caitlin_louise_sleepy_bees,340364469,24/04/24 15:12:11,@christianjosephmichael amen to that! ðŸ‘
190,nathanbrann09,55451074822,24/04/24 15:12:57,@luke_obryan18 no i completely disagree with the biden administrationâ€™s handling of this awful conflict. I just wish ppl would comment something actually related to the post.
191,quinn_babymama,65260975161,24/04/24 15:15:17,Your banning TikTok we are NOT voting for you
192,magaly19633,36301350210,24/04/24 15:17:00,"Bleach worked for me, Iâ€™m still hereðŸ˜‚ðŸ˜‚"
193,jake_steel___,31769210,24/04/24 15:17:25,@misteropossum post the quote where he said to inject bleach
194,jake_steel___,31769210,24/04/24 15:18:35,@brunoincali still canâ€™t find the quote where he said to INJECT BLEACH
195,taylorpryorphotos,12402267,24/04/24 15:21:05,"@isaiahtheeprophet he was completely serious when he said it. And even if he later claimed it was a joke, it was highly inappropriate given the circumstances"
196,supersizedbbw1,49660983101,24/04/24 15:21:39,Too funny!!! ðŸ˜‚ðŸ˜‚ðŸ˜‚
197,jdog584,6820260687,24/04/24 15:21:41,Donâ€™t start wars
198,misteropossum,1649467574,24/04/24 15:22:19,@karlbastian in this particular section of the quote he is talking about disinfectant. not light.
199,atown119,352811217,24/04/24 15:22:44,@americafirstenergy no need to research if you watched it live
200,misteropossum,1649467574,24/04/24 15:22:48,@karlbastian he said inject disinfectant. bleach is a type of disinfectant.
201,misteropossum,1649467574,24/04/24 15:23:24,@yabadabadadadamean he said disinfectant. he did not specify what kind.
202,carolsnydercatlover,4227098515,24/04/24 15:23:31,Stupid is as stupid does.
203,susanmarten,1494339919,24/04/24 15:23:47,I remember how horrified Fauci looked when he said it.
204,its.jen.tho,58491121056,24/04/24 15:23:50,How can I find any humor when youâ€™re funding Israel and banning social media? Heart broken by Democratic Party lately.
205,lar_ellingson,3148279920,24/04/24 15:24:25,Rumpy is such an idiot!!
206,bclozano,176730990,24/04/24 15:24:47,Why are you lying Joe?  This man lives in your head rent free doesnâ€™t he?
207,misteropossum,1649467574,24/04/24 15:25:11,@jake_steel___ ive posted it all over this thread. not wasting my time on you. and yes he said disinfectant not bleach. bleach os a type of disinfectant. think about it. is it BETTER or WORSE to not specify what kind of disinfectant?
208,teamthompson105,814188344,24/04/24 15:25:47,Lies
209,bdr5013,378640703,24/04/24 15:26:27,@andre210345 hahaha you'd be suprised..
